Designator,Mid X,Mid Y,Layer,Rotation
C1,23.25,-31.475,Top,180
C2,23.3,-37.225,Top,0
C3,4.3,-38,Top,0
C4,12.65,-38,Top,0
C5,5.725,-10.5,Top,180
C6,3.55,-19.75,Top,0
C7,23.05,-20.5,Top,0
C8,12.65,-23,Top,180
C9,8.8,-18.5,Top,180
C10,3.55,-15.25,Top,180
C11,23.05,-16,Top,180
C12,20,-14.45,Top,90
C13,3.55,-13,Top,0
C14,23.05,-13.75,Top,0
C15,8.75,-16,Top,180
C16,29.025,-11,Top,180
C17,27.55,-20.175,Top,0
C18,44.8,-19.75,Top,0
C19,34.5,-23.25,Top,180
C20,31,-22,Top,-90
C21,27.55,-16.175,Top,180
C22,44.8,-15,Top,180
C23,41.5,-14.95,Top,90
C24,27.55,-13.675,Top,0
C25,44.8,-12.75,Top,0
C26,31,-18.25,Top,-90
J1,15.45,-29.25,Top,90
J2,52.22,-26.85,Top,-90
J5,52.12,-42.25,Top,-90
J8,52.5,-11.84,Top,0
J9,13,-7,Top,0
J10,21.25,-6.95,Top,0
J11,29.5,-6.95,Top,0
J12,37.75,-6.95,Top,0
R1,8.4875,-38,Top,0
R2,49.25,-10.75,Top,-90
R3,49.25,-14.5875,Top,-90
R4,49.25,-18.3375,Top,-90
R5,49.25,-22.1625,Top,-90
R6,3.5875,-22,Top,0
R7,23.0875,-23,Top,0
R8,16.8375,-23,Top,0
R9,3.5875,-17.5,Top,180
R10,23.0875,-18.25,Top,180
R11,7.3375,-13,Top,0
R12,23.0875,-11.5,Top,180
R13,37.9125,-23.25,Top,0
R14,27.5875,-22.25,Top,0
R15,44.75,-22,Top,0
R16,27.5875,-18.175,Top,180
R17,44.8375,-17.5,Top,180
R18,30.75,-14.3375,Top,-90
R19,44.8375,-10.5,Top,180
U1,14.6175,-16.7125,Top,90
U2,36.205,-16.775,Top,90
