Comment,Designator,Footprint,JLCPCB Part #
PAM8403DR-H,"U1,U2",SOIC-16_3.9x9.9mm_P1.27mm,C17337
DAEX_CH1,"J9, J11, J12, J10, J1",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
10K,"R19,R18,R12,R11",R_0805_2012Metric,C176201
3.3k,"R17,R16,R15,R14,R6,R9,R10,R7",R_0805_2012Metric,C26010
100K,"R13,R8",R_0805_2012Metric,C22356675
1k,R1,R_0805_2012Metric,C22356679
2.2k,"R3,R5,R4,R2",R_0805_2012Metric,C17520
1uF,"C26,C23,C20,C12,C15,C9",C_0805_2012Metric,C28323
470nF,"C25,C24,C13,C14",C_0805_2012Metric,C1778
22nF,"C22,C21,C6,C17,C11,C7,C18,C10",C_0805_2012Metric,C1729
22nF,"C5, C16",C_1206_3216Metric,C1856
100nF,"C19,C2,C8,C4",C_0805_2012Metric,C49678
10uF,C3,C_0805_2012Metric,C15850
220uF,C1,CP_Elec_6.3x5.4,C3345
